OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known
114209,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Composite,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,182269.0,1948,34.1993126,-118.1503221,910,1,2025,1,January,Tuesday,1
112292,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,Unknown,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,60358.0,1924,34.1852443,-118.1583733,910,1,2025,1,January,Tuesday,1
124153,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Unknown,No Fence,Unknown,Unknown,0.0,1954,34.0496547,-118.5461964,902,1,2025,1,January,Tuesday,1
131523,No Damage,Malibu,90265,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Metal,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,0.0,1996,34.0380155,-118.6098957,902,1,2025,1,January,Tuesday,1
104789,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,Unscreened,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,148039.0,1952,34.1688533,-118.0704453,911,1,2025,1,January,Tuesday,1
75436,No Damage,Unincorporated,95448,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,36541.0,1953,38.5884610224126,-122.841588500388,954,1,2019,10,October,Wednesday,1
13886,No Damage,Saint Helena,94574,LNU,Napa,2020-09-27,Engine Company Actions,Single Family Residence Single Story,Single Residence,Unknown,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,>30,>=50,0.0,1987,38.532316980878,-122.551152921051,945,1,2020,9,September,Sunday,1
21791,Destroyed (>50%),Davenport,95017,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Wood,Unknown,No Fence,Unknown,Unknown,270608.0,1978,37.0563186939961,-122.212301892977,950,1,2020,8,August,Sunday,1
19376,Destroyed (>50%),Vacaville,95688,LNU,Solano,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,13525.0,1961,38.4699358208618,-122.040276916366,956,0,2020,8,August,Sunday,1
18237,No Damage,Vacaville,95688,LNU,Solano,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,339987.0,1936,38.3842476622556,-122.015561409851,956,1,2020,8,August,Sunday,1
