OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known,Damage_Binary
24973,Destroyed (>50%),Unknown,Unknown,CZU,Santa Cruz,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Metal,No Eaves,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1961,37.1819517674597,-122.198398160675,Unknown,0,2020,8,August,Sunday,0,1
39830,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,78204.0,1973,39.7368270754593,-121.634364850312,959,1,2018,11,November,Thursday,1,1
95639,Destroyed (>50%),Unknown,Unknown,TGU,Tehama,2024-07-24,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unknown,Unknown,Wood,Single Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,0-10,Unknown,55998.0,2004,40.2370367,-121.8037944,Unknown,1,2024,7,July,Wednesday,1,1
6429,No Damage,Unknown,Unknown,FKU,Fresno,2020-09-04,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,37.0934495828433,-119.32209602959,Unknown,0,2020,9,September,Friday,1,0
96607,Destroyed (>50%),Cohasset,95973,BTU,Butte,2024-07-24,Unknown,Mobile Home Double Wide,Single Residence,0.0,Asphalt,Unknown,Unknown,Wood,Unknown,No Deck/Porch,Unknown,Unknown,No Fence,Unknown,Unknown,45277.0,1980,39.8938467,-121.7459521,959,1,2024,7,July,Wednesday,1,1
75130,No Damage,Unincorporated,95441,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1983,38.7406639618441,-122.883659533651,954,1,2019,10,October,Wednesday,1,0
14234,No Damage,Saint Helena,94574,LNU,Napa,2020-09-27,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,30-50,0.0,1961,38.5381863675312,-122.476303366489,945,0,2020,9,September,Sunday,0,0
112181,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Tile,Unenclosed,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,30-50,87799.0,1925,34.190159,-118.1566715,910,1,2025,1,January,Tuesday,1,1
24659,Destroyed (>50%),Ben Lomond,95005,CZU,Santa Cruz,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,103365.0,1921,37.0909500613665,-122.128263331236,950,1,2020,8,August,Sunday,1,1
121599,Destroyed (>50%),Malibu,90265,LAC,Los Angeles,2025-01-07,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,234164.0,1948,34.0368597,-118.611576,902,1,2025,1,January,Tuesday,1,1
80480,No Damage,Pollock Pines,95726,AEU,El Dorado,2021-08-14,Unknown,Multi Family Residence Multi Story,Multiple Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,Combustible,Unknown,Unknown,208080.0,1961,38.7743143787925,-120.401571179392,957,0,2021,8,August,Saturday,1,0
353,No Damage,Caliente,93518,KRN,Kern,2020-08-03,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,No Eaves,"Mesh Screen <= 1/8""""",Wood,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,114804.0,2007,35.4567512456632,-118.534768787294,935,1,2020,8,August,Monday,1,0
